date,amount,category,description
20-07-2024,125.65,Income,Salary
20-07-2024,125.65,Income,Salary
30-01-25,Income,125.0,Cake
10-01-2024,5000,Income,Salary
12-01-2024,200,Expense,Coffee
15-01-2024,1500,Expense,Groceries
18-01-2024,300,Expense,Movie
20-01-2024,4000,Income,Freelance Work
22-01-2024,800,Expense,Electricity Bill
25-01-2024,1200,Expense,Shopping
28-01-2024,600,Expense,Internet Bill
30-01-2024,700,Expense,Dining Out
02-02-2024,5500,Income,Salary
05-02-2024,250,Expense,Books
08-02-2024,900,Expense,Household Items
10-02-2024,3500,Income,Bonus
12-02-2024,500,Expense,Gas Bill
15-02-2024,1100,Expense,Entertainment
18-02-2024,750,Expense,Transport
20-02-2024,2000,Income,Side Business
23-02-2024,450,Expense,Medical
26-02-2024,1000,Expense,Shopping
01-03-2024,5800,Income,Salary
03-03-2024,300,Expense,Snacks
06-03-2024,650,Expense,Mobile Bill
10-03-2024,2200,Income,Freelance Work
13-03-2024,800,Expense,Utility Bills
16-03-2024,1400,Expense,Groceries